# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "../hisat_align/hisat_index/chr22_with_ERCC92.gtf" "-g" "gene_name" "-o" "counts.txt" "../hisat_align/shuffled_trimmed.pe_001.sorted.bam" "../hisat_align/shuffled_trimmed.pe_002.sorted.bam" "../hisat_align/shuffled_trimmed.pe_003.sorted.bam" "../hisat_align/shuffled_trimmed.pe_004.sorted.bam" "../hisat_align/shuffled_trimmed.pe_005.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_001.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_002.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_003.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_004.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_005.sorted.bam" 
Geneid	../hisat_align/shuffled_trimmed.pe_001.sorted.bam	../hisat_align/shuffled_trimmed.pe_002.sorted.bam	../hisat_align/shuffled_trimmed.pe_003.sorted.bam	../hisat_align/shuffled_trimmed.pe_004.sorted.bam	../hisat_align/shuffled_trimmed.pe_005.sorted.bam	../bwa_align/unshuffled_trimmed.pe_001.sorted.bam
U2	0	0	0	0	0	0
FRG1FP	34	18	27	28	22	0
CU104787.1	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0
ACTR3BP6	0	0	0	0	0	0
5_8S_rRNA	0	0	0	0	0	0
FRG1GP	13	11	2	10	7	0
U6	0	0	0	0	0	0
LA16c-60D12.1	0	2	1	2	0	0
LA16c-13E4.3	0	0	1	0	0	0
LA16c-60D12.2	0	0	0	0	0	0
ZNF72P	0	0	1	0	0	0
BNIP3P2	0	0	0	0	0	0
YME1L1P1	1	0	2	0	0	0
OR11H1	0	0	0	0	0	0
LA16c-60G3.6	0	0	0	0	0	0
ARHGAP42P3	0	0	0	0	1	0
LA16c-23H5.4	0	0	0	0	0	0
LA16c-60G3.8	64	57	52	51	56	0
LA16c-60G3.7	6	7	6	12	7	0
LA16c-60G3.5	0	0	0	0	0	0
LA16c-2F2.8	0	0	0	0	0	0
NEK2P2	2	4	0	4	1	0
LA16c-2F2.5	0	0	0	0	0	0
NF1P6	5	2	3	3	5	0
MED15P7	0	0	0	0	0	0
POTEH	0	0	0	0	0	0
POTEH-AS1	0	0	0	0	0	0
RNU6-816P	0	0	0	0	0	0
LA16c-3G11.7	564	648	625	590	574	0
LINC01297	0	0	0	0	0	0
GRAMD4P2	0	0	0	0	0	0
DUXAP8	7	5	9	6	13	0
LL22NC03-N64E9.1	6	2	1	1	7	0
BMS1P22	0	0	0	0	0	0
LL22NC03-N14H11.1	0	0	0	0	0	0
NBEAP3	4	5	2	1	8	0
LA16c-60H5.7	80	55	69	55	63	0
LA16c-4G1.4	0	0	0	0	0	0
LA16c-4G1.3	0	0	0	0	0	0
ABCD1P4	3	6	4	2	4	0
LA16c-17H1.3	2	3	4	3	4	0
PABPC1P9	0	0	0	0	0	0
SLC9B1P4	0	2	0	0	0	0
ACTR3BP2	0	0	0	0	0	0
CHEK2P4	0	0	0	0	0	0
KB-67B5.17	0	0	0	0	0	0
KB-67B5.12	3	3	8	5	5	0
KCNMB3P1	4	1	2	2	5	0
CCT8L2	0	0	0	0	0	0
FABP5P11	95	93	98	95	136	0
TPTEP1	0	0	0	0	0	0
AC005301.9	0	0	0	0	0	0
KB-7G2.9	0	0	0	0	0	0
SLC25A15P5	1	1	3	3	0	0
PARP4P3	0	1	0	0	0	0
ANKRD62P1-PARP4P3	0	0	0	0	0	0
ANKRD62P1	0	0	0	0	0	0
KB-7G2.8	0	0	0	0	0	0
VWFP1	1164	1187	1190	1251	1245	0
AC005301.8	0	0	0	0	0	0
XKR3	0	0	0	0	0	0
HSFY1P1	0	0	0	0	0	0
GPM6BP3	0	0	0	0	0	0
AC007064.29	0	0	0	0	0	0
AC007064.22	0	1	0	1	0	0
ZNF402P	5	3	4	4	9	0
AC007064.24	0	0	0	0	0	0
MTND1P17	0	0	0	0	0	0
AC007064.25	0	0	0	0	0	0
AC006548.19	1	0	0	0	1	0
IGKV1OR22-5	0	0	0	0	0	0
IGKV2OR22-4	0	0	0	0	0	0
IGKV2OR22-3	0	0	0	0	0	0
IGKV3OR22-2	0	0	0	0	0	0
IGKV1OR22-1	0	0	0	0	0	0
AC006548.28	3	1	2	2	1	0
GAB4	0	0	0	0	0	0
AC006548.26	0	0	0	0	0	0
VN1R9P	0	0	0	0	0	0
CECR7	3	3	0	1	0	0
AC006946.16	0	0	0	0	0	0
AC006946.17	0	0	0	0	0	0
IL17RA	54	59	47	71	70	0
AC006946.12	0	0	0	0	0	0
CECR6	2	0	1	2	6	0
AC006946.15	0	0	0	0	0	0
CECR5	51	45	60	51	38	0
CECR5-AS1	0	0	0	0	0	0
CECR1	2	4	0	0	3	0
AC005300.5	2	1	1	2	2	0
FAM32BP	3	5	0	3	6	0
CECR3	0	0	0	0	0	0
CECR9	0	0	0	0	0	0
RN7SL843P	0	0	0	0	0	0
CECR2	2	0	0	0	0	0
AC004019.10	0	0	0	0	0	0
CLCP1	0	0	0	0	0	0
DNAJA1P6	1	0	0	1	1	0
SLC25A18	0	0	0	0	0	0
AC004019.13	0	0	0	0	0	0
ATP6V1E1	116	118	114	125	152	0
BCL2L13	64	81	73	66	70	0
BID	75	60	76	67	60	0
MIR3198-1	3	5	1	2	3	0
LINC00528	0	0	0	2	0	0
MICAL3	56	44	69	59	78	0
XXbac-B461K10.4	0	0	0	0	0	0
MIR648	0	0	0	0	0	0
XXbac-B476C20.14	0	0	0	0	0	0
XXbac-B476C20.13	0	0	0	0	0	0
RHEBP3	0	0	0	0	0	0
FLJ41941	0	0	0	0	1	0
XXbac-B476C20.9	1	1	0	2	4	0
PEX26	68	72	66	56	64	0
XXbac-B476C20.11	0	0	0	0	0	0
XXbac-B476C20.10	0	0	0	0	0	0
ARL2BPP10	0	0	0	0	0	0
TUBA8	2	1	1	2	0	0
AC008079.10	3	4	7	0	2	0
USP18	64	82	76	93	98	0
AC008079.9	0	0	0	0	0	0
GGTLC5P	0	0	0	0	0	0
AC011718.2	0	0	0	0	0	0
AC011718.3	0	0	0	0	0	0
PPP1R26P3	0	0	0	0	0	0
XXbac-B33L19.6	0	0	0	0	0	0
FAM230A	0	0	0	0	0	0
XXbac-B33L19.12	0	0	0	0	0	0
GGTLC3	0	0	0	0	0	0
Metazoa_SRP	0	0	3	0	0	0
XXbac-B33L19.15	0	0	0	0	0	0
TMEM191B	0	0	0	0	0	0
PI4KAP1	14	13	11	7	10	0
SCARNA17	0	0	0	0	0	0
RN7SKP131	0	0	0	0	0	0
RIMBP3	0	0	0	0	0	0
XXbac-B33L19.10	0	0	0	0	0	0
CA15P2	0	0	0	0	0	0
PPP1R26P2	0	0	0	0	0	0
PPP1R26P4	0	0	0	0	0	0
AC008132.15	0	0	0	0	0	0
GGT3P	0	0	0	0	0	0
AC008132.14	0	0	0	0	0	0
E2F6P1	2	4	9	3	2	0
AC008132.13	0	0	0	1	0	0
BCRP7	0	0	0	0	0	0
AC008103.3	0	0	0	0	0	0
AC008103.4	0	0	0	0	0	0
DGCR6	2	5	4	4	2	0
PRODH	0	0	0	0	0	0
AC007326.1	1	0	2	1	1	0
AC007326.10	1	0	0	0	0	0
DGCR5	0	0	0	0	2	0
AC007326.12	0	0	0	0	0	0
AC007326.9	0	0	0	0	0	0
AC000095.12	0	0	0	0	0	0
DGCR9	0	0	0	0	0	0
AC000095.9	0	0	0	0	0	0
AC000095.11	0	0	0	0	0	0
CA15P1	0	0	0	0	0	0
DGCR2	153	147	137	170	163	0
Y_RNA	0	1	0	1	0	0
DGCR11	10	4	4	6	4	0
AC004461.4	0	1	0	0	0	0
DGCR12	0	0	0	0	0	0
AC004471.9	2	0	0	0	2	0
AC004471.10	0	0	0	0	0	0
TSSK1A	0	0	0	0	0	0
DGCR14	18	25	34	29	24	0
TSSK2	0	0	0	0	0	0
GSC2	0	0	0	0	0	0
LINC01311	0	0	2	0	4	0
SLC25A1	73	67	64	87	74	0
CLTCL1	15	14	16	8	14	0
AC000081.2	0	0	0	0	0	0
SNORA15	0	0	0	0	0	0
KRT18P62	0	0	0	0	0	0
HIRA	18	15	16	14	12	0
C22orf39	23	12	14	17	26	0
RN7SL168P	0	0	0	0	0	0
MRPL40	46	34	54	35	28	0
AC000068.5	0	0	0	0	0	0
UFD1L	92	94	91	97	111	0
AC000068.9	0	0	0	0	0	0
AC000068.10	0	0	0	0	0	0
CDC45	52	55	54	49	46	0
CLDN5	224	249	264	220	218	0
LINC00895	0	0	0	0	0	0
AC000077.2	0	0	0	1	1	0
AC000067.1	0	0	0	0	0	0
SEPT5	23	20	7	13	22	0
GP1BB	0	0	0	0	0	0
TBX1	20	3	12	7	11	0
GNB1L	11	4	8	10	3	0
AC000089.3	1220	1329	1321	1304	1208	0
C22orf29	95	75	77	79	107	0
TXNRD2	135	155	116	158	119	0
AC000078.5	5	0	2	0	0	0
COMT	207	199	196	165	200	0
ARVCF	52	58	49	48	64	0
TANGO2	16	16	28	17	14	0
MIR185	0	0	0	0	0	0
AC006547.13	2	5	7	7	6	0
AC006547.15	0	0	0	0	0	0
DGCR8	103	65	69	90	80	0
AC006547.8	0	0	0	0	0	0
TRMT2A	30	42	30	29	26	0
MIR6816	0	0	0	0	0	0
RANBP1	187	158	202	174	183	0
SNORA77	0	0	0	0	0	0
ZDHHC8	118	153	134	116	115	0
CCDC188	4	7	6	6	1	0
XXbac-B444P24.8	0	0	0	0	0	0
LINC00896	0	0	0	0	0	0
RTN4R	4	2	0	0	2	0
MIR1286	0	0	0	0	0	0
XXbac-B444P24.10	2	2	0	0	0	0
DGCR6L	37	54	31	51	36	0
XXbac-B444P24.13	0	0	2	0	2	0
XXbac-B444P24.14	0	0	2	0	0	0
AC007731.1	0	0	0	0	0	0
XXbac-B33L19.4	0	0	0	0	0	0
USP41	0	0	0	0	0	0
ZNF74	20	25	22	22	36	0
RNU6-225P	0	0	0	0	0	0
SCARF2	26	15	21	11	11	0
XXbac-B562F10.12	0	0	0	0	0	0
